City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
451,Noumea,-22.2763,166.4572,81.0,99,100,33.11,NC,2022-02-10 16:37:42
452,Krasnoselkup,65.7,82.4667,-10.55,86,3,10.02,RU,2022-02-10 16:35:14
453,Kpandae,8.4689,-0.0113,100.51,7,4,5.46,GH,2022-02-10 16:37:42
454,Lamu,-2.2717,40.902,80.82,84,18,15.12,KE,2022-02-10 16:37:42
455,Zenzeli,45.9241,47.0474,34.65,67,35,11.01,RU,2022-02-10 16:37:43
456,Okha,53.5739,142.9478,20.68,97,100,3.0,RU,2022-02-10 16:37:43
457,Hamina,60.5697,27.1979,33.08,88,90,13.6,FI,2022-02-10 16:38:43
458,Bucerias,20.75,-105.3333,66.18,63,0,4.61,MX,2022-02-10 16:38:41
459,Adwa,14.1646,38.8955,69.84,44,85,5.95,ET,2022-02-10 16:38:44
460,Cidreira,-30.1811,-50.2056,76.77,69,0,15.52,BR,2022-02-10 16:38:44
461,Najran,17.4924,44.1277,72.25,22,1,4.68,SA,2022-02-10 16:37:41
462,Torres,-29.3353,-49.7269,77.83,67,6,14.45,BR,2022-02-10 16:38:45
463,Nadym,65.5333,72.5167,3.74,85,7,21.03,RU,2022-02-10 16:37:34
464,Sao Mateus Do Sul,-25.8742,-50.3828,86.59,33,21,1.5,BR,2022-02-10 16:38:45
465,Sambava,-14.2667,50.1667,78.37,84,69,3.8,MG,2022-02-10 16:38:45
466,Axim,4.8699,-2.2405,82.6,74,12,11.18,GH,2022-02-10 16:38:46
467,Havre,49.5833,0.3333,41.58,93,100,14.97,FR,2022-02-10 16:38:46
468,Yar-Sale,66.8333,70.8333,9.0,90,74,20.13,RU,2022-02-10 16:38:46
469,Talakan,50.3167,130.3667,-6.88,100,99,1.41,RU,2022-02-10 16:38:47
470,Mangit,40.5971,70.9607,38.48,48,67,6.04,UZ,2022-02-10 16:38:47
471,Barcelos,41.5388,-8.6151,64.85,69,100,1.39,PT,2022-02-10 16:38:47
472,Prescott,34.54,-112.4685,54.9,38,6,9.22,US,2022-02-10 16:38:48
473,Venafro,41.4834,14.0451,57.22,60,0,1.72,IT,2022-02-10 16:38:48
474,Maryville,35.7565,-83.9705,58.68,41,20,12.66,US,2022-02-10 16:34:55
475,Batagay,67.6333,134.6333,-35.19,99,85,2.3,RU,2022-02-10 16:38:48
476,Jvari,42.7169,42.052,37.65,95,99,2.1,GE,2022-02-10 16:38:49
477,Marsh Harbour,26.5412,-77.0636,72.84,77,100,14.16,BS,2022-02-10 16:35:31
478,Jackson,42.4165,-122.8345,38.79,93,0,3.44,US,2022-02-10 16:37:45
479,Burgeo,47.6167,-57.6152,33.51,79,44,5.41,CA,2022-02-10 16:38:49
480,Kpandu,6.9954,0.2931,90.34,36,5,3.29,GH,2022-02-10 16:38:49
481,Tondano,1.3038,124.9112,69.89,94,57,1.54,ID,2022-02-10 16:38:50
482,Scarborough,54.2797,-0.4044,44.65,73,8,13.0,GB,2022-02-10 16:38:50
483,Kyabe,9.4515,18.9449,87.73,10,35,4.79,TD,2022-02-10 16:38:50
