City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
36,Pangnirtung,CA,66.1451,-65.7125,-2.2,55,100,3.44,overcast clouds
37,Thompson,CA,55.7435,-97.8558,-9.24,70,75,17.27,broken clouds
38,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,83.16,72,100,2.33,overcast clouds
39,Bluff,NZ,-46.6,168.3333,59.81,82,66,12.97,broken clouds
40,Cabedelo,BR,-6.9811,-34.8339,84.87,68,10,10.07,clear sky
41,Victoria,HK,22.2855,114.1577,63.25,86,100,11.99,overcast clouds
42,Rampur,IN,28.8167,79.0333,49.39,80,0,8.03,clear sky
43,Ust-Omchug,RU,61.15,149.6333,-31.72,97,98,1.66,overcast clouds
44,Houma,US,29.5958,-90.7195,70.0,39,16,4.36,few clouds
45,Sitka,US,57.0531,-135.33,35.19,62,100,4.52,overcast clouds
46,Micheweni,TZ,-4.9667,39.8333,80.19,77,95,13.09,overcast clouds
47,Niltepec,MX,16.5667,-94.6167,87.66,39,27,7.2,scattered clouds
48,Sainte-Marie,RE,-20.8968,55.5496,75.36,83,0,5.75,clear sky
49,Makakilo City,US,21.3469,-158.0858,78.62,57,1,2.21,clear sky
50,Blantyre,MW,-15.785,35.0085,66.25,81,85,4.76,overcast clouds
51,Narsaq,GL,60.9167,-46.05,8.82,61,79,8.84,broken clouds
52,Deputatskiy,RU,69.3,139.9,-22.49,94,98,5.84,overcast clouds
53,Santa Barbara,US,34.7333,-120.0343,80.42,19,0,8.05,clear sky
54,Lebu,CL,-37.6167,-73.65,60.66,67,63,26.82,broken clouds
55,New Norfolk,AU,-42.7826,147.0587,60.75,57,53,2.01,broken clouds
56,Kudahuvadhoo,MV,2.6708,72.8944,81.1,75,47,10.74,scattered clouds
57,Vagamo,NO,61.8751,9.0967,11.52,89,50,7.2,scattered clouds
58,Mtambile,TZ,-5.3833,39.7,79.95,76,98,11.81,overcast clouds
59,Khatanga,RU,71.9667,102.5,-5.85,98,88,13.27,overcast clouds
60,Albany,US,42.6001,-73.9662,43.75,67,28,9.17,light rain
61,Mount Gambier,AU,-37.8333,140.7667,56.35,84,68,5.77,broken clouds
62,Kaitangata,NZ,-46.2817,169.8464,60.49,85,93,3.74,overcast clouds
63,Srednekolymsk,RU,67.45,153.6833,-39.78,99,50,4.59,scattered clouds
64,Guangyuan,CN,32.442,105.823,39.27,81,84,2.3,broken clouds
65,Vila Velha,BR,-20.3297,-40.2925,76.95,86,75,10.36,moderate rain
66,Guerrero Negro,MX,27.9769,-114.0611,75.42,23,0,4.25,clear sky
67,Del Rio,US,29.3627,-100.8968,71.82,25,1,8.79,clear sky
68,Bredasdorp,ZA,-34.5322,20.0403,58.28,72,0,3.09,clear sky
69,Dafeng,CN,23.4517,108.5881,49.46,96,100,3.24,overcast clouds
70,Khartoum,SD,15.5518,32.5324,74.01,17,1,4.0,clear sky
71,Niquelandia,BR,-14.4739,-48.4597,69.4,95,100,1.12,overcast clouds
72,Parrita,CR,9.5201,-84.3225,89.06,69,29,6.13,scattered clouds
73,Labytnangi,RU,66.6572,66.4183,13.1,93,100,14.03,overcast clouds
74,Tuktoyaktuk,CA,69.4541,-133.0374,-11.27,96,100,15.99,light snow
75,Kahului,US,20.8947,-156.47,77.85,71,7,3.0,clear sky
76,San Patricio,US,28.017,-97.5169,72.54,33,100,4.72,overcast clouds
77,Castro,BR,-24.7911,-50.0119,73.67,72,28,3.69,scattered clouds
78,Lapa,BR,-25.7697,-49.7158,76.37,69,29,9.19,scattered clouds
79,Westport,US,41.1415,-73.3579,54.28,45,8,13.0,clear sky
80,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,25,5.97,scattered clouds
81,Iquitos,PE,-3.7481,-73.2472,87.85,54,69,1.12,broken clouds
82,Boddam,GB,57.4667,-1.7833,37.71,60,63,24.32,broken clouds
83,Lorengau,PG,-2.0226,147.2712,80.1,82,100,5.75,overcast clouds
84,Dingle,PH,10.9995,122.6711,75.88,83,97,9.84,overcast clouds
85,Port Elizabeth,ZA,-33.918,25.5701,65.89,82,37,3.91,scattered clouds
86,Severo-Kurilsk,RU,50.6789,156.125,23.85,76,85,7.67,overcast clouds
87,Grindavik,IS,63.8424,-22.4338,32.47,74,75,19.57,broken clouds
88,Airai,TL,-8.9266,125.4092,60.28,92,100,1.43,overcast clouds
89,Zeya,RU,53.75,127.2667,-4.79,94,86,4.03,overcast clouds
90,Qaanaaq,GL,77.484,-69.3632,-19.95,56,13,6.93,few clouds
91,Sarahan,IN,31.5167,77.8,23.54,53,1,11.21,clear sky
92,Qaqortoq,GL,60.7167,-46.0333,9.1,63,98,8.37,overcast clouds
93,Wake Forest,US,35.9799,-78.5097,66.43,25,0,9.22,clear sky
94,Mar Del Plata,AR,-38.0023,-57.5575,84.22,85,0,25.01,clear sky
95,Ilulissat,GL,69.2167,-51.1,-0.38,46,75,3.44,broken clouds
96,Doka,SD,13.5167,35.7667,81.1,27,1,12.82,clear sky
97,Chokurdakh,RU,70.6333,147.9167,-28.66,95,40,8.7,scattered clouds
98,Usak,TR,38.5,29.4167,30.2,73,0,7.9,clear sky
99,Jamestown,US,42.097,-79.2353,38.52,53,95,7.0,overcast clouds
