City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
311,Segou,ML,79.47,clear sky,13.4317,-6.2157,Comme chez soi
312,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
313,Labuhan,ID,76.59,overcast clouds,-6.8844,112.2051,DoubleFAG
314,Benguela,AO,75.7,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
317,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
322,Srikakulam,IN,69.96,clear sky,18.3,83.9,Micro Systems
325,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
329,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
339,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
340,Salalah,OM,73.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
341,Nouadhibou,MR,73.24,overcast clouds,20.931,-17.0347,El Medina
342,Saint Andrews,US,68.09,few clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
344,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
345,Tutoia,BR,84.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
347,Lafiagi,NG,84.56,overcast clouds,8.8667,5.4167,Bus group international
348,Isangel,VU,80.22,overcast clouds,-19.55,169.2667,Tanna Lodge
353,Palm Coast,US,69.06,few clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
357,Flinders,AU,71.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
360,Morro Bay,US,83.71,clear sky,35.3658,-120.8499,Inn at Morro Bay
361,Calvinia,ZA,70.16,clear sky,-31.4707,19.776,Die Lemoenhuis
365,Cairns,AU,76.06,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
368,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
369,Ngunguru,NZ,76.15,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
370,Honiara,SB,80.71,moderate rain,-9.4333,159.95,Heritage Park Hotel
371,Mossendjo,CG,70.57,moderate rain,-2.9506,12.7261,HOTEL D'ASSISE
373,Pamanukan,ID,75.61,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
374,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
375,Atambua,ID,72.34,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
377,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
378,Kindu,CD,68.79,overcast clouds,-2.95,25.95,Résidence Okanda
380,Karratha,AU,83.84,few clouds,-20.7377,116.8463,ibis Styles Karratha
382,Lazaro Cardenas,MX,81.81,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
389,Gladstone,AU,72.79,clear sky,-23.85,151.25,Highpoint International Hotel
390,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
394,Ilhabela,BR,75.47,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
399,Santa Ines,BR,76.06,overcast clouds,-3.6667,-45.38,Palace hotel
